gene	sym	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	foldChange	cell
ENSG00000005801	ZNF195	627.105549064862	0.654124948344793	0.137723683426807	4.74954584475973	2.03873977021972e-06	0.000113560241942	1.57366117581188	A549
ENSG00000006459	KDM7A	365.955677789916	0.965663107909921	0.161208990319503	5.99013185304404	2.09670980764032e-09	2.10892804464887e-07	1.95296095742818	A549
ENSG00000006652	IFRD1	1159.41648815423	0.828366398027913	0.107456304973048	7.70886732272883	1.26939295755746e-14	2.24650416957099e-12	1.77567358112061	A549
ENSG00000007968	E2F2	254.473683242977	-1.09173840015533	0.195449130462697	-5.58579307859185	2.32636097644162e-08	1.92454750364677e-06	0.469195668471691	A549
ENSG00000009413	REV3L	750.496275243606	0.779002899019732	0.135983553296802	5.7286552684754	1.0122987250999e-08	8.95756232634283e-07	1.71594450895407	A549
ENSG00000026103	FAS	546.568816048488	2.05249445856387	0.153700668804069	13.3538420784642	1.12493796116356e-40	8.27776717633038e-38	4.14822589254711	A549
ENSG00000029534	ANK1	287.865535733798	0.970803698553097	0.187797235332894	5.16942486843443	2.34815511108869e-07	1.57052338784216e-05	1.95993213281718	A549
ENSG00000030110	BAK1	329.510348768653	0.592659538522959	0.167489887468049	3.53847953140464	0.000402438480899549	0.0102673219004683	1.50802415620214	A549
ENSG00000040199	PHLPP2	908.994621926239	-0.614970077908269	0.110126120793177	-5.58423445299792	2.34731870469572e-08	1.93046251825594e-06	0.652943435720885	A549
ENSG00000042317	SPATA7	120.293212103034	0.947219874392797	0.278488802115328	3.40128531990502	0.000670697851829265	0.0152969439909053	1.92815345392482	A549
ENSG00000042445	RETSAT	960.488854451976	0.765217897833816	0.108910003400763	7.02614887466299	2.1231192670566e-12	3.02692712256794e-10	1.69962668246609	A549
ENSG00000043355	ZIC2	450.862168202572	-0.842265714101257	0.153837125497982	-5.47504844084146	4.37391945315357e-08	3.45490213980452e-06	0.557766922758666	A549
ENSG00000044574	HSPA5	14701.0417294386	0.794827556911357	0.0692358866994603	11.4799938991401	1.66292254605355e-30	8.61085930236102e-28	1.73486999560516	A549
ENSG00000047346	FAM214A	218.822767641976	0.81469226767136	0.201222345259344	4.04871669009399	5.14992396329828e-05	0.00180002717327183	1.75892292689073	A549
ENSG00000048392	RRM2B	1137.59435830166	1.13871473613083	0.108224414977142	10.5217915603548	6.85574111081572e-26	2.52237148606091e-23	2.2018477821259	A549
ENSG00000051108	HERPUD1	1953.90974267771	1.56388349662423	0.0903381350713195	17.3114432281515	3.8562660831996e-67	7.70206515845909e-64	2.95648610486867	A549
ENSG00000054598	FOXC1	267.99034859788	-0.711391393711338	0.191893144839518	-3.70722671884022	0.000209541339521227	0.00582424943905821	0.610730841084408	A549
ENSG00000055163	CYFIP2	1651.28543109388	1.13910764211147	0.100617449349557	11.321173906467	1.03082216054972e-29	4.64900794407924e-27	2.20244751869685	A549
ENSG00000059728	MXD1	168.476810047837	0.843328903090409	0.232483836056223	3.62747327898728	0.000286208384286922	0.00764528785429492	1.79418530792831	A549
ENSG00000062282	DGAT2	46.7419133897582	-1.31001718772145	0.438355508584976	-2.98848118037851	0.00280367766368477	0.0462788871499135	0.40331607462772	A549
ENSG00000065328	MCM10	1126.69844672014	-0.660881457565259	0.102844294760005	-6.42603908274615	1.30971742451228e-10	1.5517931620429e-08	0.632491739214803	A549
ENSG00000065357	DGKA	260.364108097769	1.09251929510049	0.188094672599394	5.80834789206045	6.30923125230684e-09	5.96009203638527e-07	2.13246090890913	A549
ENSG00000065911	MTHFD2	3716.16286043914	0.748995437589021	0.0777562434380002	9.63260832149435	5.82322237718327e-22	1.76987982729129e-19	1.68062218962106	A549
ENSG00000066735	KIF26A	331.068119326192	-0.589795400998599	0.16749999255335	-3.52116672966862	0.000429652373066796	0.0108039025680699	0.664437128994092	A549
